What is the capital city of France?,Berlin,Madrid,Paris,Rome,Paris
Which planet is closest to the sun?,Mars,Mercury,Venus,Jupiter,Mercury
Who wrote the novel "1984"?,George Orwell,Ernest Hemingway,Jane Austen,Mark Twain,George Orwell
What is the largest continent in the world by area?,Africa,Asia,Australia,Europe,Asia
What is the name of the longest river in Africa?,Niger,Nile,Amazon,Mississippi,Nile
Which country is both in Europe and Asia?,Russia,China,India,Japan,Russia
What is the smallest country in the world by land area?,Monaco,Nauru,Vatican City,Tuvalu,Vatican City
Who painted the famous "Mona Lisa" painting?,Vincent van Gogh,Leonardo da Vinci,Rembrandt van Rijn,Pablo Picasso,Leonardo da Vinci
What is the name of the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Mikhail Gorbachev,John F. Kennedy,Neil Armstrong
What is the chemical symbol for gold?,Ag,Au,Pt,Hg,Au
What is the highest mountain in Africa?,Mount Kilimanjaro,Mount Everest,Mount Fuji,Mount Denali,Mount Kilimanjaro
Who directed the movie "Jaws"?,Steven Spielberg,George Lucas,Quentin Tarantino,Alfred Hitchcock,Steven Spielberg
Which city is known as the "Eternal City"?,Venice,Florence,Rome,Naples,Rome
What is the name of the world's largest ocean?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
What is the name of the world's largest desert?,Sahara Desert,Arabian Desert,Australian Desert,Kalahari Desert,Sahara Desert
Who wrote the play "Romeo and Juliet"?,William Shakespeare,George Bernard Shaw,Tennessee Williams,Oscar Wilde,William Shakespeare
What is the name of the currency used in Japan?,Euro,Yen,Dollar,Pound,Yen
Which country gifted the Statue of Liberty to the United States?,France,United Kingdom,Spain,Italy,France
What is the name of the world's largest river by volume?,Amazon River,Mississippi River,Yangtze River,Nile River,Amazon River
Which planet is known as the "Red Planet"?,Venus,Jupiter,Mars,Saturn,Mars